item_id,order_id,product_id,product_name,product_category,quantity,unit_price_xaf,line_total_xaf
1,100000,403,Préservatifs x3,Pharmacie,1,1237.0,1237.0
2,100000,107,Pâtes alimentaires 500g,Épicerie,1,847.0,847.0
3,100000,102,Huile palme 1L,Épicerie,5,1102.0,5510.0
4,100001,105,Sel iodé 500g,Épicerie,1,227.0,227.0
5,100002,104,Sucre cristallisé 1kg,Épicerie,1,704.0,704.0
6,100002,205,Eau Supermont 10L,Boissons,3,2597.0,7791.0
7,100002,1002,Cahier 100 pages,Papeterie,2,832.0,1664.0
8,100003,108,Tomate concentrée 400g,Épicerie,5,980.0,4900.0
9,100003,506,Eru + Water fufu,Restauration,4,3219.0,12876.0
10,100004,1001,Stylos x10,Papeterie,1,1318.0,1318.0
11,100005,202,Coca-Cola 1.5L,Boissons,3,727.0,2181.0
12,100005,503,Pizza Marguerita,Restauration,1,5631.0,5631.0
13,100006,103,Farine de blé 1kg,Épicerie,1,869.0,869.0
14,100006,105,Sel iodé 500g,Épicerie,1,245.0,245.0
15,100006,903,Chaussures sport 42,Vêtements,5,38099.0,190495.0
16,100006,602,Chargeur 20W,Électronique,1,8365.0,8365.0
17,100007,602,Chargeur 20W,Électronique,5,8160.0,40800.0
18,100007,401,Paracétamol 500mg x16,Pharmacie,2,1675.0,3350.0
19,100007,1001,Stylos x10,Papeterie,4,1141.0,4564.0
20,100007,205,Eau Supermont 10L,Boissons,1,2353.0,2353.0
21,100008,1002,Cahier 100 pages,Papeterie,1,846.0,846.0
22,100008,605,Coque téléphone,Électronique,3,3681.0,11043.0
23,100008,202,Coca-Cola 1.5L,Boissons,2,905.0,1810.0
24,100009,109,Sardines en boîte 200g,Épicerie,2,1076.0,2152.0
25,100009,605,Coque téléphone,Électronique,1,3493.0,3493.0
26,100010,204,Jus Tampico 1L,Boissons,3,1329.0,3987.0
27,100011,110,Cube Maggi x10,Épicerie,2,482.0,964.0
28,100012,206,Nescafé 200g,Boissons,2,4039.0,8078.0
29,100012,604,Batterie externe 10000mAh,Électronique,2,19439.0,38878.0
30,100012,205,Eau Supermont 10L,Boissons,4,2746.0,10984.0
31,100012,104,Sucre cristallisé 1kg,Épicerie,2,672.0,1344.0
32,100013,803,Brosse à dents,Hygiène,1,1494.0,1494.0
33,100014,201,Eau minérale 1.5L,Boissons,1,379.0,379.0
34,100014,1001,Stylos x10,Papeterie,2,1246.0,2492.0
35,100015,302,Oignons 1kg,Produits frais,2,530.0,1060.0
36,100015,404,Thermomètre digital,Pharmacie,1,11041.0,11041.0
37,100016,206,Nescafé 200g,Boissons,1,3677.0,3677.0
38,100016,702,Gel douche Dove 250ml,Cosmétiques,2,2643.0,5286.0
39,100016,502,Ndolé haricot,Restauration,2,2269.0,4538.0
40,100016,203,Bière Castel 65cl,Boissons,1,677.0,677.0
41,100017,205,Eau Supermont 10L,Boissons,1,2292.0,2292.0
42,100017,303,Poulet entier 1kg,Produits frais,2,4690.0,9380.0
43,100017,101,Riz Uncle Ben's 5kg,Épicerie,2,3825.0,7650.0
44,100018,301,Tomates fraîches 1kg,Produits frais,1,614.0,614.0
45,100018,108,Tomate concentrée 400g,Épicerie,2,1033.0,2066.0
46,100019,303,Poulet entier 1kg,Produits frais,1,5041.0,5041.0
47,100019,301,Tomates fraîches 1kg,Produits frais,1,675.0,675.0
48,100019,304,Poisson Capitaine 1kg,Produits frais,2,3374.0,6748.0
49,100020,306,Légumes verts 500g,Produits frais,4,406.0,1624.0
50,100021,902,Pagnes 6 yards,Vêtements,4,17250.0,69000.0
51,100021,301,Tomates fraîches 1kg,Produits frais,3,688.0,2064.0
52,100022,704,Déodorant Axe 150ml,Cosmétiques,3,3750.0,11250.0
53,100023,201,Eau minérale 1.5L,Boissons,1,394.0,394.0
54,100023,103,Farine de blé 1kg,Épicerie,1,811.0,811.0
55,100023,507,Spaghetti bolognaise,Restauration,1,2781.0,2781.0
56,100024,305,Plantains régime,Produits frais,1,1508.0,1508.0
57,100024,1002,Cahier 100 pages,Papeterie,1,832.0,832.0
58,100024,901,T-shirt basique M,Vêtements,2,5303.0,10606.0
59,100024,903,Chaussures sport 42,Vêtements,1,37111.0,37111.0
60,100025,801,Savon Omo 400g,Hygiène,1,790.0,790.0
61,100025,1002,Cahier 100 pages,Papeterie,1,769.0,769.0
62,100026,902,Pagnes 6 yards,Vêtements,1,19104.0,19104.0
63,100026,305,Plantains régime,Produits frais,1,1691.0,1691.0
64,100026,1003,Ramette A4 500 feuilles,Papeterie,1,5066.0,5066.0
65,100027,506,Eru + Water fufu,Restauration,5,2977.0,14885.0
66,100027,502,Ndolé haricot,Restauration,1,2372.0,2372.0
67,100027,106,Lait Neslac 400g,Épicerie,1,3841.0,3841.0
68,100028,1001,Stylos x10,Papeterie,4,1255.0,5020.0
69,100028,204,Jus Tampico 1L,Boissons,2,1198.0,2396.0
70,100028,102,Huile palme 1L,Épicerie,1,1276.0,1276.0
71,100028,602,Chargeur 20W,Électronique,2,8528.0,17056.0
72,100028,702,Gel douche Dove 250ml,Cosmétiques,3,2955.0,8865.0
73,100029,305,Plantains régime,Produits frais,2,1405.0,2810.0
74,100029,203,Bière Castel 65cl,Boissons,1,640.0,640.0
75,100030,802,Lessive Ariel 1kg,Hygiène,4,4669.0,18676.0
76,100030,301,Tomates fraîches 1kg,Produits frais,1,602.0,602.0
77,100030,302,Oignons 1kg,Produits frais,3,572.0,1716.0
78,100031,201,Eau minérale 1.5L,Boissons,1,388.0,388.0
