order_id,customer_id,order_date,delivery_time_min,status,total_amount_xaf,city,quartier,product_category,courier_id,order_hour,order_day_of_week
100000,CUST11954,2024-06-07 14:31:00,44.7,livré,15444.0,YAOUNDE,Biyem-Assi,,47,14,Friday
100001,CUST11317,2024/04/20 18:56,53.9,livré,16188.0,Yaounde,Messa,,32,18,Saturday
100002,CUST17374,2024-07-10 17:37:00,260.7,en_retard,11497.0,Douala,Bonabéri,restauration,32,17,Wednesday
100003,CUST10224,2023-03-29 07:48:00,253.8,en_retard,20301.0,Yaounde,Nlongkak,EPICERIE,22,7,Wednesday
100004,CUST11846,29/12/2024 08:35,66.5,livré,15639.0,yaounde,Bastos,,30,8,Sunday
100005,CUST17287,2024-02-14 19:41:00,287.3,en_retard,59249.0,DOUALA,Village,Vétements,43,19,Wednesday
100006,CUST10909,2024/12/17 15:02,38.8,livré,5920.0,douala ,Kotto,Hygiène,27,15,Tuesday
100007,CUST10387,2022-07-02 22:51:00,32.1,livré,25000,Douala,Akwa,Épicérie,7,22,Saturday
100008,CUST17144,28/12/2024 11:37,10.8,annulé,25000,bafoussam,Tamdja,Épicerie,14,11,Saturday
100009,CUST10572,28/10/2024 15:54,145.9,en_retard,348663.0,DOUALA,Ngodi-Bakoko,Électronique,22,15,Monday
100010,CUST11495,2024-09-30 11:24:00,30.6,livré,9990.0,Yaoundé ,Essos,boissons,4,11,Monday
100011,CUST17173,04 January 2024,82.6,livré,10639.0,Yaoundé,Etoudi,Épicerie,6,19,Thursday
100012,CUST11473,27/06/2024 17:27,162.2,en retard,75000,YAOUNDE,Jouvence,Articles Ménagers,5,17,Thursday
100013,CUST10767,06/12/2024 17:10,225.1,en_retard,8044.0,Yaoundé ,Messa,Boissons,6,17,Friday
100014,CUST11534,2024/12/19 00:07,55.8,livré,9511.0,Yaoundé ,Mokolo,Épicerie,33,0,Thursday
100015,CUST17282,24/12/2024 19:07,55.6,LIVRE,3804.0,Douala,Bonapriso,Restauration,36,19,Tuesday
100016,CUST17163,06/12/2024 20:49,43.2,livré,18000,Bafoussam ,Bamougoum,restauration,12,20,Friday
100017,CUST11386,26-02-2025,178.2,en_retard,5099.0,YAOUNDE,Mendong,Produits Frais,35,13,Wednesday
